Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-APR-2026|AADI|EQUITY|7786891760|11600|131934773|4997751369|13403225|41|1676591493|118096190|6298702|1845040|131275|6946052108|1150700|62349456|70069283|260922661|2216283|342626447|16109719|2493100|82902003|840839652
30-APR-2026|AALI|EQUITY|1924688333|8100|65496916|22181098|5508018|49700|127498056|9000233|37870|3795112|4750027|238317030|979200|14126835|28633831|27273580|1102652|44137023|22633101|190500|13403341|152480063
30-APR-2026|ABBA|EQUITY|3935892857|42|0|2368118705|0|0|1065066148|0|423|71|0|3433185347|0|1300000|0|41020085|396600|0|1754300|0|0|44470985
30-APR-2026|ABDA|EQUITY|620806680|2580|0|56448|0|98|473657|0|7575|437934|20|975732|538555304|21730234|0|28003600|900|0|30503300|0|0|618793338
30-APR-2026|ABMM|EQUITY|2753165000|2950|1847600|1494846233|86000|0|417532200|420000|1384335|0|0|1916116368|0|804404579|4483209|7606732|207800|10381267|3109309|0|6855736|837048632
30-APR-2026|ACES|EQUITY|17120389700|358|394735900|10933899200|93795500|6200000|2599691791|395540923|51325281|17684714|1092800|14493966109|0|102349939|224822612|723879993|10762500|848724154|84885019|0|630899374|2626323591
30-APR-2026|ACRO|EQUITY|3469345537|74|0|19700|0|0|3345157034|0|103|0|0|3345176837|0|0|0|16312600|107750800|0|105300|0|0|124168700
30-APR-2026|ACST|EQUITY|17675160000|99|0|16221378335|0|0|1431850091|0|1180|0|80|17653229686|0|140|0|8978044|11201435|0|1750695|0|0|21930314
30-APR-2026|ADCP|EQUITY|22222222200|51|0|450547000|1200000|0|1605386900|0|1558700|900|147078400|2205771900|0|0|0|11460200|4776100|0|214000|0|0|16450300
30-APR-2026|ADES|EQUITY|589896800|20050|0|3344700|0|350|41684977|0|471|0|0|45030498|0|538984910|60300|4129364|115400|138300|433600|0|316000|544177874
30-APR-2026|ADHI|EQUITY|8407608979|212|21255679|324396873|44278904|3000000|2248376238|35502|252303699|15300435|985047|2909932377|0|2309318|6188100|23640182|26203346|16584048|4936933|0|9030883|88892810
30-APR-2026|ADMF|EQUITY|1235803109|8800|5082393|782288|106600|930516154|43166096|7560900|150214|71|0|987364716|0|185747|299605|234408314|4129018|956000|8359709|0|0|248338393
30-APR-2026|ADMG|EQUITY|3889179559|218|1030000|1399506693|2290400|0|503000287|83|450027|0|0|1906277490|0|158|0|6574728|2632300|0|4371700|0|1925414417|1938993303
30-APR-2026|ADMR|EQUITY|40882331500|1850|717098200|35757873191|88663900|0|1572174875|601878506|10734790|27128900|1164700|38776717062|11085700|579115537|236842130|682433200|9382100|340786336|12457935|0|233511500|2105614438
30-APR-2026|ADRO|EQUITY|29389689400|2520|542464432|16384907153|116274368|1500|7781597428|532247294|24188056|16980800|604700|25399265731|11769700|744480133|398364947|453232788|8204642|1875649964|51456929|29467000|417797566|3990423669
30-APR-2026|AEGS|EQUITY|1006080721|52|0|11186000|0|0|934996396|0|25|0|0|946182421|0|0|0|300|1098000|0|58800000|0|0|59898300
30-APR-2026|AGAR|EQUITY|1000000000|250|0|798985100|0|0|200683700|0|0|0|0|999668800|0|200|0|142000|25200|0|163800|0|0|331200
30-APR-2026|AGII|EQUITY|3066660000|3000|0|1018449829|0|0|59634691|40900600|60|100|0|1118985280|0|1085431420|0|13730400|9664100|2946200|4759600|0|0|1116531720
30-APR-2026|AGRO|EQUITY|24740494294|181|0|126764890|602594703|21311076986|2406657678|4885298|1686574|2494957|894971|24457056057|0|80|0|10408952|11664937|0|4347367|0|0|26421336
30-APR-2026|AGRS|EQUITY|47864384874|70|0|400486972|0|0|1687488335|900000|1414728346|581|0|3503604234|0|1|0|38572414|31830498|0|688342|0|4701453340|4772544595
30-APR-2026|AHAP|EQUITY|4900000000|107|3066343009|65232981|0|0|1510176778|0|55263|66|0|4641808097|64086000|761955|0|29185841|157811149|0|2006100|0|0|253851045
30-APR-2026|AIMS|EQUITY|220000000|450|0|137499842|0|0|81652458|0|18000|0|0|219170300|0|0|0|100|669200|0|10400|0|0|679700
30-APR-2026|AISA|EQUITY|9311800000|123|169631429|6984570655|4350400|0|1623331726|3364513|1031097|160|8794665|8795074645|0|320084518|1927300|174488112|7158025|0|9403000|0|3036900|516097855
30-APR-2026|AKKU|EQUITY|6449463636|38|0|5519566100|0|0|635461636|0|664400|6900|0|6155699036|0|195389000|0|23000100|800200|0|2040300|0|72535000|293764600
