Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-MAR-2026|ALKA|EQUITY|507665055|580|0|14390500|0|77500|49451205|0|21200|0|0|63940405|0|0|0|179900|2631923|0|100|0|0|2811923
31-MAR-2026|ALMI|EQUITY|3816000000|74|0|97045340|0|0|47006400|0|303000|0|0|144354740|0|0|0|32818700|725800|0|1604500|0|0|35149000
31-MAR-2026|ALTO|EQUITY|2191870558|18|0|1371844916|0|0|577065024|0|229039618|0|0|2177949558|0|0|0|7560100|11000|0|6098400|0|0|13669500
31-MAR-2026|AMAG|EQUITY|5001552516|440|55806100|191754821|210019533|388000000|34427196|0|23887500|0|0|903895150|0|5413700|0|2813400|7759300|2066800|78195000|0|100000|96348200
31-MAR-2026|AMAN|EQUITY|3873500000|298|0|100|0|0|571076800|0|157400|0|0|571234300|0|3207800|0|9015300|1000|0|1541600|0|0|13765700
31-MAR-2026|AMAR|EQUITY|18381094760|198|0|1269525960|0|367421455|432913274|0|451|176|0|2069861316|0|14871331344|0|1203131504|395803|21391898|30350620|0|821275|16127422444
31-MAR-2026|AMFG|EQUITY|434000000|3190|23500|13621282|0|0|35117400|28600|35076|0|0|48825858|114800|21574583|162700|1454100|383200|145300|12584659|76900|217400|36713642
31-MAR-2026|AMIN|EQUITY|1080000000|230|0|0|0|0|81575000|0|0|0|0|81575000|0|17438300|0|2900600|235164500|0|12121600|0|0|267625000
31-MAR-2026|AMMN|EQUITY|72518217656|4920|222189300|59453850751|22902700|0|1204216485|150391932|195652035|2883400|300000|61252386603|64057947|6178711735|531730618|881457194|1963200|2500743215|245309510|4548700|857308934|11265831053
31-MAR-2026|AMMS|EQUITY|1235296802|400|0|360625331|0|0|241955025|0|179|38|0|602580573|0|630001529|0|1363200|409500|0|942000|0|0|632716229
31-MAR-2026|AMOR|EQUITY|2222222400|330|8621400|352431400|0|0|481794100|0|27264100|0|0|870111000|10730454|0|0|3661900|1204200|1088100|586900|0|719846|17991400
31-MAR-2026|AMRT|EQUITY|41524501700|1480|349007700|23126063334|48331900|0|3880442690|279876101|1853780|7660900|0|27693236405|70126434|4180393715|1910907313|427754712|1703300|5619942259|137350867|7000400|1476086295|13831265295
31-MAR-2026|ANDI|EQUITY|9350000000|26|20585655|817454313|563700|0|2574116272|1017794267|266762055|110879|26|4697387167|0|0|0|5100|2555933|0|21800|0|0|2582833
31-MAR-2026|ANJT|EQUITY|3354175000|1595|0|83097105|0|0|52982181|100|0|0|0|136079386|0|3217218477|0|316800|247937|0|312400|0|0|3218095614
31-MAR-2026|ANTM|EQUITY|24030764725|3500|664802015|61057801|128118759|3500012|1840429787|754758883|12365569|15848551|937467|3481818844|94378640|259880019|985705625|557316020|5213998|2077024614|75554632|92123800|744155300|4891352648
31-MAR-2026|APEX|EQUITY|3546466661|187|0|1288838554|0|0|954327613|0|61548039|0|0|2304714206|0|309152599|0|78517930|4187467|0|772180787|0|0|1164038783
31-MAR-2026|APIC|EQUITY|11766313488|1135|109496000|8260936117|86328700|0|555899105|491378475|595902025|2300000|0|10102240422|6068800|564560413|85091429|387490077|250|87099576|2687448|0|531075073|1664073066
31-MAR-2026|APII|EQUITY|1075760000|180|0|1656100|0|0|55643200|0|0|0|0|57299300|0|0|0|2511300|36757300|0|35085100|0|142971000|217324700
31-MAR-2026|APLI|EQUITY|1362671400|228|0|216741400|0|0|545000900|0|165000|0|0|761907300|0|0|0|89400|85000|0|488700|0|0|663100
31-MAR-2026|APLN|EQUITY|22699326779|162|5283600|19012831198|1150000|0|3132486116|0|166278720|700000|390000|22319119634|0|5430891|15084800|343775493|3080700|232900|8015761|0|4586600|380207145
31-MAR-2026|APOL|EQUITY|16452282461|0|0|647104480|1400000|0|775297451|0|93299020|14088335|575800|1531765086|0|2653784186|0|1180647657|8159700|13668011|1410754020|0|71000000|5338013574
31-MAR-2026|ARCI|EQUITY|25235000000|1375|581782000|21286291577|96245500|0|1378577523|387570473|580931695|9449200|801000|24321648968|17198000|89426110|8253400|59444562|13873800|320872800|36448960|0|367833400|913351032
31-MAR-2026|AREA|EQUITY|2539601000|306|0|383774000|0|0|118451900|0|100|0|0|502226000|0|0|0|1461100|6301400|0|11500|0|0|7774000
31-MAR-2026|ARGO|EQUITY|3174339029|950|45000|659759914|0|0|2791350|0|70100|0|0|662666364|0|280|0|5488220|12150|0|0|0|0|5500650
31-MAR-2026|ARII|EQUITY|3750000000|278|117981800|1849661900|0|0|528964600|148553900|0|35300|0|2645197500|0|319208600|0|218854300|2149300|0|63500|0|77165800|617441500
31-MAR-2026|ARKA|EQUITY|2000000000|33|0|1092810200|0|0|904740300|0|0|0|0|1997550500|0|0|0|100|36000|0|1163400|0|0|1199500
31-MAR-2026|ARKO|EQUITY|2928495000|5875|0|2570142118|0|0|304363150|14500|0|0|0|2874519768|0|31793332|0|21521400|271300|0|389200|0|0|53975232
31-MAR-2026|ARMY|EQUITY|9006250000|50|1238919479|2958461794|8227180|270423058|1799268163|1073934402|382763030|2541380|526952595|8261491081|0|488927400|0|31551200|1329019|2532000|4800|0|0|524344419
31-MAR-2026|ARNA|EQUITY|7341430976|505|257345897|1413431576|5259987|0|3576846141|53294900|109391|0|0|5306287892|0|20845160|143101000|632734328|20386928|1068621976|39598192|0|109855500|2035143084
31-MAR-2026|ARTA|EQUITY|446674175|2800|0|51876900|0|0|368080025|0|0|0|0|419956925|0|20000000|0|1050|499600|0|6216600|0|0|26717250
31-MAR-2026|ARTI|EQUITY|7840000000|2|423655974|2650331886|739500000|0|3821089750|156169300|1175890|20000|23750000|7815692800|0|0|0|100|14591400|0|8340700|0|0|22932200
31-MAR-2026|ARTO|EQUITY|13861330900|1320|50332444|7083583292|16258993|0|1183406114|63132254|2114240|7091965|55415|8405974717|3767000|1377982121|146301083|1998053480|4581700|246234120|60581715|19809638|1359482826|5216793683
31-MAR-2026|ASBI|EQUITY|348386472|406|13410592|315701029|22|0|14646079|0|186|40|0|343757948|0|0|0|180640|571270|0|979988|0|0|1731898
31-MAR-2026|ASDM|EQUITY|384000000|615|0|65409700|0|26400|33552320|4000000|0|0|0|102988420|0|313600|0|1026200|966900|0|4415400|0|0|6722100
31-MAR-2026|ASGR|EQUITY|1348780500|1550|1552500|15297200|0|178000|233277348|9565700|3493341|280400|0|263644489|115100|3305161|3032200|11902125|474000|5026100|6132485|158900|3811500|33957571
31-MAR-2026|ASHA|EQUITY|5000000000|65|0|2602844700|0|0|2351385100|0|0|0|0|4954229800|0|0|0|39786200|2671100|0|3312900|0|0|45770200
31-MAR-2026|ASIA|EQUITY|2275009490|0|250000|18089640|0|83334|1022620029|0|7409294|203|22620680|1071073180|0|334|0|1720002|7512840|0|24374843|0|1153364243|1186972262
31-MAR-2026|ASII|EQUITY|40483553140|6250|2178358702|539020800|161304482|3310650|1050434394|681905374|3162783|51604600|22610930|4691712715|144765559|348497636|2141338662|1377351426|4311830|7159025025|109807602|251842900|2026805905|13563746545
31-MAR-2026|ASJT|EQUITY|1400000000|191|28130800|18526346|1083520009|0|176295858|29918717|56358304|22|5702950|1398453006|0|0|0|1345078|181216|0|20700|0|0|1546994
31-MAR-2026|ASLC|EQUITY|12746354780|75|0|145341300|0|0|2253248622|0|694100|100|0|2399284122|0|39062563|0|43111400|317678800|0|1039900|0|54961300|455853963
31-MAR-2026|ASLI|EQUITY|6250000000|302|0|4058875900|0|0|2174466100|0|436300|162400|0|6233940700|0|0|0|12577700|2931600|0|550000|0|0|16059300
31-MAR-2026|ASMI|EQUITY|8958380460|20|2693479000|2000036900|0|0|4164665310|431000|41941450|0|6920800|8907474460|0|0|0|800|21361800|0|2437200|0|27106200|50906000
31-MAR-2026|ASPI|EQUITY|683810725|332|0|358691300|0|0|322841425|0|0|0|0|681532725|0|0|0|1328200|944700|0|100|0|0|2273000
31-MAR-2026|ASPR|EQUITY|2712000000|230|0|3400100|0|0|480327000|0|1317500|0|0|485044600|0|736500|0|26989800|299229100|0|0|0|0|326955400
31-MAR-2026|ASRI|EQUITY|19649411888|131|136416700|9957111560|66823000|0|3349136164|315944999|2252370513|1045000|250100|16079098036|0|36901870|11015000|298305965|6788100|136753033|64681351|0|33418533|587863852
31-MAR-2026|ASRM|EQUITY|1277992036|286|63894|140101829|0|0|80148801|0|1216909|567|20447956|241979956|0|20374|0|62232|50400|0|9090674|0|0|9223680
31-MAR-2026|ASSA|EQUITY|3691137517|775|19771000|1805127377|18232373|0|1202690444|56060091|8957342|3644229|100|3114482956|0|15516877|14926600|120524669|85947100|135358100|109245215|0|95136000|576654561
31-MAR-2026|ATAP|EQUITY|1250000000|625|0|9719433|0|0|236526267|0|0|0|0|246245700|0|163900|0|3331600|68400|0|190400|0|0|3754300
31-MAR-2026|ATIC|EQUITY|2315361355|500|0|838294218|0|0|218610748|0|45|0|0|1056905011|0|863645841|169900|490000|236673623|0|25000|0|0|1101004364
31-MAR-2026|ATLA|EQUITY|6199577693|50|0|4589200|0|0|6102842593|0|95|905|2000000|6109432793|0|0|0|63043500|15905000|0|11196400|0|0|90144900
31-MAR-2026|ATPK|EQUITY|5760245414|0|334100|323695100|18900|0|250129894|0|12600|0|7733000|581923594|0|1509500|3400000|46222000|1161500|0|522312307|0|95936129|670541436
31-MAR-2026|AUTO|EQUITY|4819733000|2610|77188100|56825787|4281775|0|228354512|53305860|22250839|3163500|75|445370448|0|244964128|18217092|83096962|217675|96235039|23761693|0|50841406|517333995
31-MAR-2026|AVIA|EQUITY|61953555600|366|116111900|24430580500|38430500|0|843418772|236881685|7742578|11703900|960600|25685830435|18320900|5864960091|380186469|927355028|111300|3489774451|11565505|0|470918221|11163191965
31-MAR-2026|AWAN|EQUITY|3435000000|160|0|2638786715|0|0|349253385|0|0|0|0|2988040100|0|2710800|0|15127300|1938600|400000000|27183200|0|0|446959900
31-MAR-2026|AXIO|EQUITY|5840126500|111|0|1143379800|0|0|544605700|0|0|0|0|1687985500|0|0|0|1475200|665800|0|0|0|0|2141000
31-MAR-2026|AYAM|EQUITY|4000000000|294|0|77490400|0|0|3797862500|657000|0|303600|0|3876313500|0|0|0|58281100|302900|0|1102500|0|0|59686500
31-MAR-2026|AYLS|EQUITY|853423236|190|0|597868200|0|0|237450636|0|0|0|0|835318836|0|0|0|530800|5131900|0|12441700|0|0|18104400
31-MAR-2026|BABP|EQUITY|44458997354|51|117046900|27983256876|5725000|76|5155723196|94490200|4627581|3911395|24|33364781248|0|10444572677|0|106932300|12701900|0|45990301|0|39354700|10649551878
31-MAR-2026|BABY|EQUITY|2616226706|202|0|381100|0|0|99554400|14514500|0|0|0|114450000|0|2496178006|0|5510400|88300|0|0|0|0|2501776706
31-MAR-2026|BACA|EQUITY|19953024885|130|367100000|10902758311|0|12686999|1453698287|1760617713|188147087|695000|37500|14685740897|0|0|1408100|4808624889|203400|26928400|1128790|0|229460160|5067753739
31-MAR-2026|BAIK|EQUITY|1127497572|332|0|100|0|0|217283972|0|0|0|0|217284072|0|252500|0|9511800|15900|0|433300|0|0|10213500
31-MAR-2026|BAJA|EQUITY|1800000000|149|0|88000000|0|0|309907400|0|0|0|0|397907400|0|0|0|2064900|21200|0|6500|0|0|2092600
